post_id,user_id,team_id,title,content,created_at,updated_at
27,273,30,Present Ethnography for CLE684-Zealous (CLE684),"Our work aligns with CLE - Internal Medicine Sub-Internship. This post focuses on the poster session. Key topics: Community Research, Qualitative Analysis, Ethnography. Toolkit: Thematic Analysis, Coding Schemes, Transcription. We'll iterate with weekly check-ins and maintain documentation for grading and peer collaboration.",2025-03-20 10:10:03,2025-03-20 10:10:03
28,130,32,Present Community Research for FAA330-Innovative (FAA330),"Our work aligns with FAA - Making Sustainable Design. This post focuses on the poster session. Key topics: Narrative Mapping, Qualitative Analysis, Ethnography. Toolkit: Coding Schemes, IRB-style Ethics, Transcription. We'll iterate with weekly check-ins and maintain documentation for grading and peer collaboration.",2025-04-17 16:00:58,2025-04-21 17:05:58
29,130,32,Synthesize Qualitative Analysis for FAA330-Innovative (FAA330),"Our work aligns with FAA - Making Sustainable Design. This post focuses on the literature review. Key topics: Oral Histories, Ethnography, Narrative Mapping. Toolkit: Coding Schemes, Transcription, Interview Protocols. We'll iterate with weekly check-ins and maintain documentation for grading and peer collaboration.",2025-04-18 16:00:58,2025-04-18 16:00:58
30,484,33,Conduct Ethnography for CHEM542-Honest (CHEM542),"Our work aligns with CHEM - Quantum Mech and Spectroscopy. This post focuses on the literature review. Key topics: Policy Review, Oral Histories, Narrative Mapping. Toolkit: Thematic Analysis, IRB-style Ethics, Coding Schemes. We'll iterate with weekly check-ins and maintain documentation for grading and peer collaboration.",2025-04-03 16:27:56,2025-04-03 16:27:56
31,484,33,Synthesize Ethnography for CHEM542-Honest (CHEM542),"Our work aligns with CHEM - Quantum Mech and Spectroscopy. This post focuses on the literature review. Key topics: Community Research, Oral Histories, Ethnography. Toolkit: Thematic Analysis, Coding Schemes, Interview Protocols. We'll iterate with weekly check-ins and maintain documentation for grading and peer collaboration.",2025-04-04 16:27:56,2025-04-04 16:27:56
32,912,37,Conduct Narrative Mapping for ME297-Youthful (ME297),"Our work aligns with ME - Introductory Independent Study. This post focuses on the poster session. Key topics: Ethnography, Community Research, Archival Work. Toolkit: Coding Schemes, IRB-style Ethics, Transcription. We'll iterate with weekly check-ins and maintain documentation for grading and peer collaboration.",2025-02-25 13:28:22,2025-02-25 13:28:22
33,912,37,Conduct Qualitative Analysis for ME297-Youthful (ME297),"Our work aligns with ME - Introductory Independent Study. This post focuses on the community brief. Key topics: Oral Histories, Community Research, Qualitative Analysis. Toolkit: Transcription, Thematic Analysis, IRB-style Ethics. We'll iterate with weekly check-ins and maintain documentation for grading and peer collaboration.",2025-02-27 13:28:22,2025-03-04 14:15:22
34,946,38,Synthesize Qualitative Analysis for MATH439-Creative (MATH439),"Our work aligns with MATH - Philosophy of Mathematics. This post focuses on the community brief. Key topics: Community Research, Oral Histories, Ethnography. Toolkit: Interview Protocols, IRB-style Ethics, Coding Schemes. We'll iterate with weekly check-ins and maintain documentation for grading and peer collaboration.",2025-02-14 20:28:01,2025-02-14 20:28:01
35,946,38,Document Narrative Mapping for MATH439-Creative (MATH439),"Our work aligns with MATH - Philosophy of Mathematics. This post focuses on the community brief. Key topics: Narrative Mapping, Community Research, Policy Review. Toolkit: Transcription, IRB-style Ethics, Interview Protocols. We'll iterate with weekly check-ins and maintain documentation for grading and peer collaboration.",2025-02-19 20:28:01,2025-02-19 20:28:01
36,225,39,Document Ethnography for IS524-Dynamic (IS524),"Our work aligns with IS - Data Governance. This post focuses on the coding framework. Key topics: Community Research, Policy Review, Oral Histories. Toolkit: IRB-style Ethics, Coding Schemes, Thematic Analysis. We'll iterate with weekly check-ins and maintain documentation for grading and peer collaboration.",2025-04-30 16:05:51,2025-04-30 16:05:51
37,6,40,Align Peer Review for CMN250-Optimistic (CMN250),"Our work aligns with CMN - Social Movement Communication. This post focuses on the risk register. Key topics: Documentation, Team Coordination, Presentation Prep. Toolkit: Issue Tracker, GitHub, Slides. We'll iterate with weekly check-ins and maintain documentation for grading and peer collaboration.",2025-01-15 20:29:16,2025-01-15 20:29:16
38,6,40,Coordinate Team Coordination for CMN250-Optimistic (CMN250),"Our work aligns with CMN - Social Movement Communication. This post focuses on the scope doc. Key topics: Peer Review, Team Coordination, Milestone Planning. Toolkit: Slides, Google Docs, GitHub. We'll iterate with weekly check-ins and maintain documentation for grading and peer collaboration.",2025-01-14 11:43:22,2025-01-14 11:43:22
39,6,40,Present Milestone Planning for CMN250-Optimistic (CMN250),"Our work aligns with CMN - Social Movement Communication. This post focuses on the progress update. Key topics: Team Coordination, Presentation Prep, Peer Review. Toolkit: Issue Tracker, GitHub, Slides. We'll iterate with weekly check-ins and maintain documentation for grading and peer collaboration.",2025-01-16 11:43:22,2025-01-16 11:43:22
40,561,43,Document Team Coordination for ENG211-Reliable (ENG211),"Our work aligns with ENG - Empowering Academic Success. This post focuses on the demo script. Key topics: Peer Review, Presentation Prep, Documentation. Toolkit: Slides, Google Docs, Issue Tracker. We'll iterate with weekly check-ins and maintain documentation for grading and peer collaboration.",2025-02-04 21:07:48,2025-02-04 21:07:48
41,477,46,Present Milestone Planning for IE599-Reliable (IE599),"Our work aligns with IE - Thesis Research. This post focuses on the scope doc. Key topics: Presentation Prep, Milestone Planning, Documentation. Toolkit: Google Docs, Issue Tracker, GitHub. We'll iterate with weekly check-ins and maintain documentation for grading and peer collaboration.",2025-03-10 20:49:40,2025-03-17 22:53:40
42,477,46,Organize Peer Review for IE599-Reliable (IE599),"Our work aligns with IE - Thesis Research. This post focuses on the scope doc. Key topics: Milestone Planning, Team Coordination, Documentation. Toolkit: GitHub, Slides, Google Docs. We'll iterate with weekly check-ins and maintain documentation for grading and peer collaboration.",2025-03-13 20:49:40,2025-03-13 20:49:40
43,477,46,Present Presentation Prep for IE599-Reliable (IE599),"Our work aligns with IE - Thesis Research. This post focuses on the progress update. Key topics: Milestone Planning, Peer Review, Documentation. Toolkit: GitHub, Issue Tracker, Google Docs. We'll iterate with weekly check-ins and maintain documentation for grading and peer collaboration.",2025-02-28 13:22:21,2025-03-02 17:37:21
44,223,47,Coordinate Team Coordination for CS427-United (CS427),"Our work aligns with CS - Software Engineering I. This post focuses on the scope doc. Key topics: Team Coordination, Peer Review, Milestone Planning. Toolkit: Slides, GitHub, Issue Tracker. We'll iterate with weekly check-ins and maintain documentation for grading and peer collaboration.",2025-02-16 11:30:04,2025-02-22 16:42:04
45,441,49,Present Peer Review for CS435-Focused (CS435),"Our work aligns with CS - Cloud Networking. This post focuses on the scope doc. Key topics: Milestone Planning, Documentation, Peer Review. Toolkit: GitHub, Slides, Google Docs. We'll iterate with weekly check-ins and maintain documentation for grading and peer collaboration.",2025-02-11 18:00:18,2025-02-11 18:00:18
46,102,53,Align Peer Review for ECE498-Optimistic (ECE498),"Our work aligns with ECE - Special Topics in ECE. This post focuses on the progress update. Key topics: Documentation, Team Coordination, Peer Review. Toolkit: Issue Tracker, Slides, GitHub. We'll iterate with weekly check-ins and maintain documentation for grading and peer collaboration.",2025-02-15 10:16:29,2025-02-25 12:38:29
47,25,54,Organize Documentation for MUS146-Quick (MUS146),"Our work aligns with MUS - Supp WW Inst: Flute. This post focuses on the progress update. Key topics: Presentation Prep, Peer Review, Milestone Planning. Toolkit: Slides, Issue Tracker, Google Docs. We'll iterate with weekly check-ins and maintain documentation for grading and peer collaboration.",2025-03-18 21:20:40,2025-03-18 21:20:40
48,25,54,Present Documentation for MUS146-Quick (MUS146),"Our work aligns with MUS - Supp WW Inst: Flute. This post focuses on the progress update. Key topics: Presentation Prep, Peer Review, Team Coordination. Toolkit: GitHub, Google Docs, Issue Tracker. We'll iterate with weekly check-ins and maintain documentation for grading and peer collaboration.",2025-01-14 13:16:16,2025-01-14 13:16:16
49,25,54,Align Milestone Planning for MUS146-Quick (MUS146),"Our work aligns with MUS - Supp WW Inst: Flute. This post focuses on the demo script. Key topics: Team Coordination, Documentation, Peer Review. Toolkit: GitHub, Google Docs, Issue Tracker. We'll iterate with weekly check-ins and maintain documentation for grading and peer collaboration.",2025-01-17 13:16:16,2025-01-22 17:28:16
50,997,55,Coordinate Documentation for FAA553-Motivated (FAA553),"Our work aligns with FAA - Cripping Art + Design. This post focuses on the demo script. Key topics: Documentation, Team Coordination, Presentation Prep. Toolkit: Slides, GitHub, Issue Tracker. We'll iterate with weekly check-ins and maintain documentation for grading and peer collaboration.",2025-01-30 13:09:48,2025-01-30 13:09:48
51,997,55,Align Milestone Planning for FAA553-Motivated (FAA553),"Our work aligns with FAA - Cripping Art + Design. This post focuses on the risk register. Key topics: Documentation, Peer Review, Milestone Planning. Toolkit: Google Docs, Issue Tracker, GitHub. We'll iterate with weekly check-ins and maintain documentation for grading and peer collaboration.",2025-01-31 13:09:48,2025-02-03 18:17:48
52,592,56,Document Milestone Planning for ME505-Nimble (ME505),"Our work aligns with ME - Carbon Capture and Storage. This post focuses on the demo script. Key topics: Peer Review, Milestone Planning, Presentation Prep. Toolkit: Slides, GitHub, Google Docs. We'll iterate with weekly check-ins and maintain documentation for grading and peer collaboration.",2025-04-01 19:22:44,2025-04-01 19:22:44
53,146,58,Document Team Coordination for ECE478-Bold (ECE478),"Our work aligns with ECE - Formal Software Development Methods. This post focuses on the risk register. Key topics: Milestone Planning, Presentation Prep, Documentation. Toolkit: Slides, Issue Tracker, GitHub. We'll iterate with weekly check-ins and maintain documentation for grading and peer collaboration.",2025-01-16 11:26:45,2025-01-16 11:26:45
54,860,59,Present Presentation Prep for CEE202-Agile (CEE202),"Our work aligns with CEE - Engineering Risk &amp; Uncertainty. This post focuses on the demo script. Key topics: Milestone Planning, Presentation Prep, Peer Review. Toolkit: Slides, Google Docs, GitHub. We'll iterate with weekly check-ins and maintain documentation for grading and peer collaboration.",2025-03-25 11:37:35,2025-03-25 11:37:35
55,988,61,Coordinate Peer Review for CHEM518-Energetic (CHEM518),"Our work aligns with CHEM - Topics in Inorganic Chemistry. This post focuses on the demo script. Key topics: Team Coordination, Documentation, Presentation Prep. Toolkit: Google Docs, Issue Tracker, GitHub. We'll iterate with weekly check-ins and maintain documentation for grading and peer collaboration.",2025-03-31 16:55:06,2025-03-31 16:55:06
56,988,61,Coordinate Presentation Prep for CHEM518-Energetic (CHEM518),"Our work aligns with CHEM - Topics in Inorganic Chemistry. This post focuses on the progress update. Key topics: Milestone Planning, Team Coordination, Documentation. Toolkit: GitHub, Google Docs, Issue Tracker. We'll iterate with weekly check-ins and maintain documentation for grading and peer collaboration.",2025-02-23 12:31:54,2025-02-28 15:33:54
57,988,61,Coordinate Peer Review for CHEM518-Energetic (CHEM518),"Our work aligns with CHEM - Topics in Inorganic Chemistry. This post focuses on the progress update. Key topics: Documentation, Presentation Prep, Peer Review. Toolkit: Google Docs, Issue Tracker, Slides. We'll iterate with weekly check-ins and maintain documentation for grading and peer collaboration.",2025-02-26 12:31:54,2025-02-26 12:31:54
58,612,62,Organize Documentation for CLE688-Vibrant (CLE688),"Our work aligns with CLE - Urology Sub-Internship. This post focuses on the scope doc. Key topics: Team Coordination, Peer Review, Documentation. Toolkit: Google Docs, Issue Tracker, Slides. We'll iterate with weekly check-ins and maintain documentation for grading and peer collaboration.",2025-03-31 19:18:00,2025-03-31 19:18:00
59,612,62,Organize Peer Review for CLE688-Vibrant (CLE688),"Our work aligns with CLE - Urology Sub-Internship. This post focuses on the risk register. Key topics: Milestone Planning, Documentation, Team Coordination. Toolkit: Google Docs, Issue Tracker, Slides. We'll iterate with weekly check-ins and maintain documentation for grading and peer collaboration.",2025-04-01 19:18:00,2025-04-01 19:18:00
60,254,63,Present Milestone Planning for ENG310-Wise (ENG310),"Our work aligns with ENG - Engineering Internship. This post focuses on the progress update. Key topics: Documentation, Peer Review, Team Coordination. Toolkit: Slides, GitHub, Google Docs. We'll iterate with weekly check-ins and maintain documentation for grading and peer collaboration.",2025-04-17 21:08:28,2025-04-21 02:33:28
61,254,63,Document Team Coordination for ENG310-Wise (ENG310),"Our work aligns with ENG - Engineering Internship. This post focuses on the demo script. Key topics: Team Coordination, Documentation, Peer Review. Toolkit: Google Docs, Slides, GitHub. We'll iterate with weekly check-ins and maintain documentation for grading and peer collaboration.",2025-04-21 21:08:28,2025-05-02 01:34:28
62,305,66,Align Team Coordination for ECE431-Wise (ECE431),"Our work aligns with ECE - Electric Machinery. This post focuses on the demo script. Key topics: Documentation, Presentation Prep, Peer Review. Toolkit: Google Docs, Slides, GitHub. We'll iterate with weekly check-ins and maintain documentation for grading and peer collaboration.",2025-03-27 15:22:48,2025-03-27 15:22:48
63,305,66,Coordinate Team Coordination for ECE431-Wise (ECE431),"Our work aligns with ECE - Electric Machinery. This post focuses on the scope doc. Key topics: Peer Review, Milestone Planning, Presentation Prep. Toolkit: Slides, GitHub, Google Docs. We'll iterate with weekly check-ins and maintain documentation for grading and peer collaboration.",2025-04-01 15:22:48,2025-04-01 15:22:48
64,723,67,Present Presentation Prep for CLE797-Motivated (CLE797),"Our work aligns with CLE - Inpatient Psychiatry. This post focuses on the progress update. Key topics: Team Coordination, Milestone Planning, Presentation Prep. Toolkit: Issue Tracker, GitHub, Google Docs. We'll iterate with weekly check-ins and maintain documentation for grading and peer collaboration.",2025-04-08 11:17:58,2025-04-09 14:47:58
65,122,68,Coordinate Documentation for SHS375-Quick (SHS375),"Our work aligns with SHS - Communication Partners and Health. This post focuses on the demo script. Key topics: Documentation, Presentation Prep, Peer Review. Toolkit: Slides, Google Docs, Issue Tracker. We'll iterate with weekly check-ins and maintain documentation for grading and peer collaboration.",2025-04-18 12:19:11,2025-04-18 12:19:11
66,464,70,Present Peer Review for CS446-Reliable (CS446),"Our work aligns with CS - Machine Learning. This post focuses on the risk register. Key topics: Milestone Planning, Documentation, Peer Review. Toolkit: GitHub, Issue Tracker, Slides. We'll iterate with weekly check-ins and maintain documentation for grading and peer collaboration.",2025-01-25 20:35:05,2025-01-25 20:35:05
67,388,71,Coordinate Team Coordination for CEE467-Quick (CEE467),"Our work aligns with CEE - Masonry Structures. This post focuses on the progress update. Key topics: Presentation Prep, Documentation, Milestone Planning. Toolkit: Slides, GitHub, Issue Tracker. We'll iterate with weekly check-ins and maintain documentation for grading and peer collaboration.",2025-03-10 18:30:39,2025-03-10 18:30:39
68,797,72,Coordinate Milestone Planning for ASTR506-Lively (ASTR506),"Our work aligns with ASTR - Galaxies. This post focuses on the scope doc. Key topics: Documentation, Milestone Planning, Team Coordination. Toolkit: Google Docs, GitHub, Issue Tracker. We'll iterate with weekly check-ins and maintain documentation for grading and peer collaboration.",2025-03-25 18:50:26,2025-03-25 18:50:26
69,797,72,Organize Presentation Prep for ASTR506-Lively (ASTR506),"Our work aligns with ASTR - Galaxies. This post focuses on the progress update. Key topics: Documentation, Peer Review, Team Coordination. Toolkit: GitHub, Issue Tracker, Google Docs. We'll iterate with weekly check-ins and maintain documentation for grading and peer collaboration.",2025-03-29 18:50:26,2025-03-29 18:50:26
70,836,73,Present Peer Review for UP199-Wise (UP199),"Our work aligns with UP - Undergraduate Open Seminar. This post focuses on the scope doc. Key topics: Milestone Planning, Documentation, Peer Review. Toolkit: Issue Tracker, GitHub, Google Docs. We'll iterate with weekly check-ins and maintain documentation for grading and peer collaboration.",2025-02-09 17:16:46,2025-02-19 22:08:46
71,998,74,Present Peer Review for MUS103-Motivated (MUS103),"Our work aligns with MUS - Rudiments of Music Theory I. This post focuses on the demo script. Key topics: Milestone Planning, Team Coordination, Presentation Prep. Toolkit: Issue Tracker, GitHub, Google Docs. We'll iterate with weekly check-ins and maintain documentation for grading and peer collaboration.",2025-01-31 16:43:40,2025-01-31 16:43:40
72,998,74,Align Documentation for MUS103-Motivated (MUS103),"Our work aligns with MUS - Rudiments of Music Theory I. This post focuses on the demo script. Key topics: Documentation, Presentation Prep, Milestone Planning. Toolkit: Issue Tracker, Google Docs, GitHub. We'll iterate with weekly check-ins and maintain documentation for grading and peer collaboration.",2025-02-02 16:43:40,2025-02-02 16:43:40
73,502,75,Document Presentation Prep for ECE599-Motivated (ECE599),"Our work aligns with ECE - Thesis Research. This post focuses on the demo script. Key topics: Documentation, Presentation Prep, Team Coordination. Toolkit: Google Docs, Issue Tracker, GitHub. We'll iterate with weekly check-ins and maintain documentation for grading and peer collaboration.",2025-02-14 14:43:18,2025-02-14 14:43:18
74,502,75,Coordinate Team Coordination for ECE599-Motivated (ECE599),"Our work aligns with ECE - Thesis Research. This post focuses on the demo script. Key topics: Team Coordination, Presentation Prep, Documentation. Toolkit: GitHub, Issue Tracker, Slides. We'll iterate with weekly check-ins and maintain documentation for grading and peer collaboration.",2025-02-17 14:43:18,2025-02-19 16:44:18
75,866,76,Coordinate Peer Review for MATH441-Wise (MATH441),"Our work aligns with MATH - Differential Equations. This post focuses on the demo script. Key topics: Presentation Prep, Team Coordination, Peer Review. Toolkit: GitHub, Slides, Issue Tracker. We'll iterate with weekly check-ins and maintain documentation for grading and peer collaboration.",2025-02-21 19:22:34,2025-02-21 19:22:34
76,866,76,Present Documentation for MATH441-Wise (MATH441),"Our work aligns with MATH - Differential Equations. This post focuses on the demo script. Key topics: Presentation Prep, Milestone Planning, Team Coordination. Toolkit: Google Docs, Issue Tracker, GitHub. We'll iterate with weekly check-ins and maintain documentation for grading and peer collaboration.",2025-02-24 19:22:34,2025-02-27 20:12:34
77,937,77,Align Peer Review for ECE444-Tenacious (ECE444),"Our work aligns with ECE - IC Device Theory &amp; Fabrication. This post focuses on the demo script. Key topics: Documentation, Peer Review, Presentation Prep. Toolkit: GitHub, Issue Tracker, Slides. We'll iterate with weekly check-ins and maintain documentation for grading and peer collaboration.",2025-02-14 18:34:12,2025-02-14 18:34:12
78,937,77,Coordinate Team Coordination for ECE444-Tenacious (ECE444),"Our work aligns with ECE - IC Device Theory &amp; Fabrication. This post focuses on the scope doc. Key topics: Team Coordination, Peer Review, Presentation Prep. Toolkit: GitHub, Slides, Issue Tracker. We'll iterate with weekly check-ins and maintain documentation for grading and peer collaboration.",2025-02-18 18:34:12,2025-02-27 20:41:12
79,529,78,Present Documentation for CLE778-Lively (CLE778),"Our work aligns with CLE - Imaging in Critical Care. This post focuses on the risk register. Key topics: Milestone Planning, Documentation, Presentation Prep. Toolkit: Slides, Issue Tracker, GitHub. We'll iterate with weekly check-ins and maintain documentation for grading and peer collaboration.",2025-04-05 17:40:45,2025-04-09 22:01:45
